text,intent
i would like to know if i can put a pto request in for march 19 to march 20,reminder
what is the conversion of $30 in canadian dollars,unknown
what are the steps to get my rewards for my visa card,unknown
"Today would you tell me the meaning of life, please",emotional-support
"help, i've lost my cellphone!",action-item
ring my phone at 12 pm,reminder
where are you from,small-talk
how do i report that i actually lost my card,unknown
"Today what is the meaning behind life, do you think",emotional-support
get me a hotel room for 4 people from march 1st to 3rd in seattle,action-item
can you tell me where my item is,unknown
Today does life have a meaning,emotional-support
how many days until the next holiday arrives,unknown
can i put in a pto request for may 1 to may 5,reminder
i need a table for 3 at olive garden for 7,action-item
please book a meeting room for thusday at 4:00,reminder
can you tell me when my tires should get changed,unknown
find a hotel with great reviews in san francisco,action-item
do i have 30th birthday party on my calendar,reminder
i will be traveling to lima alert my bank,unknown
can you find out why is my bank account frozen,unknown
is it possible to read my to-do list again,action-item
hello,small-talk
please remind me of the tasks on my to do list,action-item
"Honestly, where is there meaning in life",emotional-support
do you have a meeting room open from noon until 2:00 pm,reminder
Recently is there a meaning in life,emotional-support
you are so thoughtful and i appreciate your gesture,small-talk
how much longer before the card is mailed to me,unknown
set a 10 minute timer,reminder
how do they say yes in brazil,action-item
Today i need you to tell me the meaning of life,emotional-support
can you cancel,unknown
inform me as to how much gas my car has,unknown
just call me al,small-talk
talk to me by calling me this name from now on,small-talk
Sometimes tell me the meaning of life,emotional-support
where would you say you were born,small-talk
what are some deals on amazon,unknown
put soda on the shopping list and add carrots,action-item
what's the next day i am scheduled off,unknown
what is on march 2 calendar,reminder
speak spanish please,action-item
what's the name of the song playing right now,unknown
find me a rental car from 2/28 - 3/1 in reno,unknown
do i have any appointments on tuesday,reminder
i have how many vacation days left,unknown
what's the transit time on a new card,unknown
let me know what ingredients i need to make pasta,unknown
i need you to switch the language you are responding as i don't understand,action-item
reserve me a flight from ft lauderdale to houston on southwest,action-item
please go to wikipedia and search for articles related to nsa,unknown
please check and report on my tire pressure,unknown
delete all events on my calendar that have the word girlfriend in them,reminder
"if i use applesauce instead of oil, will that mess it up",unknown
"book a hotel in pa, harrisburg for the 10th to 15th",action-item
create a reservation novemeber 11 to 15 in cali,action-item
is my meeting with frank on my calendar,reminder
can you translate i love you into french for me,action-item
send $100 from paypal to my bank,action-item
please run a timer for me,reminder
set an alarm to work out and another to go home,reminder
remind me in (x) hours,reminder
you can call me sarah,small-talk
Recently can you share the meaning of life,emotional-support
