text,intent
take $40 from account a and transfer it to account b,action-item
i'm out of paper towels so will you put that on my shopping list,action-item
make a pto request from dates may 3 to 9,reminder
let me know about your pets,unknown
where's home for you,small-talk
should i take a different route to work,unknown
please set a timer for,reminder
i want to order some more checks for my savings account,unknown
please request pto for me from march 3rd to march 7th,reminder
can you schedule a meeting room for interviews on thursday,reminder
what is an amazing trivia fact relating to 3d printing,unknown
i need a hotel in phoenix near chase field from january 4th to the 8th,action-item
i need to transfer from one account to my second one,action-item
can i request pto from march 9-16,reminder
is there a way to increase the limit of my credit to 5000 dollars,unknown
"i'm at home, so where is the closest starbucks",unknown
i need to know somthing funny,small-talk
what's the way for delta to cancel a flight,unknown
start the timer now,reminder
tell me about my health insurance,unknown
"hello, how are you doing",small-talk
what expression would i use to say i love you if i were an italian,action-item
cancel that reservation for 8 at barney's,unknown
help me get some new checks since i ran out of them,unknown
is love the meaning of life,emotional-support
i would like a timer set,reminder
i must know the point of life,emotional-support
provide me the name of who made you,small-talk
time taken to reach doctors office,unknown
i need to know when my electricity bill is due,unknown
what country were you born in,small-talk
is there any consensun regarding lifes true meaning,emotional-support
remind me to take out the trash,unknown
i am not confident on that,unknown
you were built by who,small-talk
can you tell me any truly funny knock knock jokes,small-talk
what subjects do you know about,small-talk
i'd like the language to be in spanish,action-item
remove all items from todo list,unknown
could you make reservations for 2 at olive garden for 5 pm today,action-item
what do i do to get new insurance,unknown
check for why is my bank account frozen,unknown
wake me in an hour,reminder
i need to hear my todo list,action-item
in which place were you made,small-talk
i need a recipe for chili,unknown
how can you help me,small-talk
list my to-do list,action-item
what sorts of subjects are you well versed in,small-talk
what kind of outlets does havana have,unknown
how do i ask to have a vacation,reminder
read back my day for march 4th 2019,reminder
i need a place to stay in newark near a bodega from may 2nd through the 4th,action-item
i'll be travelling to russia from april 1 through april 20 and need my financial institute apprised of it,unknown
how many pesos can i get for one dollar,unknown
how long will it take the bus to get to stop 23,unknown
tell me a joke about jobs,small-talk
please inform me what is showing on my calendar for the 17th of march,reminder
i need a flight from nyc to paris with delta,action-item
i need to edit this event out of my calendar,reminder
stop the connection with my phone,unknown
look up articles on the green dry cleaning industry,unknown
please make your language setting norwegian,action-item
thank you very much,small-talk
take pat's appointment off my calendar,reminder
open map and pin point my location,unknown
thanks for giving me assistance,small-talk
what does my shopping list say that i should get,unknown
remove jess's party from my calendar,reminder
speak german,action-item
thank you for that response,small-talk
what does the carry-on policy say for flights on united airlines,unknown
ai can you help me find my phone,action-item
i'm lacking vitamins so order me more,unknown
reserve a table for 3 at 7 for olive garden,action-item
do i have anything on my schedule for april 15,reminder
"i will be in uruguay from january to august, please let me bank know",unknown
roll a pair of eight sided dice,unknown
my answer to your question is yes,unknown
create a new timer,reminder
can you hook up a meeting for 3:00 on wednesday,reminder
can we speak in english rather than zulu,action-item
i'd like to know where i am,unknown
what is the carry-on policy for flights on the airline called jetblue,unknown
change the speaker volume to a louder one,unknown
i'd like direct deposit to my chase bank account,unknown
what is the temperature setting of the ac,unknown
set a brand new timer for eight seconds,reminder
when did i last take my car in for maintenance,unknown
please give me a rundown of my reminder list,unknown
"i don't like that, no",unknown
what are you able to do,small-talk
give me a table for 3 at o'reilly's bar for 7 please,action-item
can i hear the complete to do list just dictated,action-item
look up the email address of the local police,unknown
can you text mary and tell them it's ready,unknown
i need you to confirm my reservation for kevin at red robin,unknown
please cancel the last input,unknown
could you put broken by evanescense to my playlist,unknown
i don't know where i left my phone,action-item
thanks so much,small-talk
"if i use applesauce instead of oil, will that mess it up",unknown
write down appointment for tomorrow on my calendar,reminder
"could you call me by a different name, please",small-talk
"tell me the time in san francisco, please",unknown
what do you refer to me as,unknown
are you real,unknown
please speak in tagalog,action-item
what is the name you associate with me,unknown
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",action-item
reserve table for 5 at red robin under the name sara at 3,action-item
are there transaction fees in cuba for using my discover card,unknown
"at 7, i need a table for 3 at olive garden",action-item
i need a reminder to alert me to wish my mom a happy birthday,unknown
help me find a hotel in columbus with good reviews,action-item
how healthy is stax chips,unknown
i want to hear my to do list read out loud,action-item
what's the status of my order,unknown
tell me where you're from,small-talk
what name should i call you,unknown
is it ok if i use some of my pto on may 24th to may 29th,reminder
can you tell me my current interest rate,unknown
how do i ask the ai to help me with math problem,unknown
"i need a meeting room between 3-7, are any available",reminder
i would like to hear something funny,small-talk
is my todo list possible today,action-item
i want you to roll a dice,unknown
hey hey!,small-talk
english to spanish for dog,action-item
i'd like you to call me something different,small-talk
how do i change the name you came with to something else,unknown
may you repeat what you said again,unknown
how much longer before the card is mailed to me,unknown
change and set your language setting to english,action-item
does my shopping list consist of chips,unknown
tell me what's on the calendar for saturday,reminder
can you book me a room in new york city from april 2 through april 8,action-item
do you know what is for dinner,unknown
"can you tell me the meaning of life, please",emotional-support
thank you goodbye,small-talk
your efforts don't go unnoticed,small-talk
search google for how to set up direct deposit,unknown
i would like to know the types of subjects are you familiar with,small-talk
are any rooms free from 12 to 1,reminder
can you see if you can track where my luggage is,unknown
add bread to my list of groceries,action-item
i need soda added to my list and carrots removed,action-item
can you tell me how you're doing today,small-talk
"can i make a reservation for 2 at state bird for 6:30, please",action-item
transfer 200 dollars from paypal to savings,action-item
move a dollar from my checkings to my savings,action-item
find the names of all the rain forests located in south america,unknown
when is my card going to expire,unknown
book a flight from sacremento to tampa two weeks from now and returning a month after,action-item
let me know which company were you designed by,small-talk
do women still bare their chests for beads at mardi gras,unknown
i need you to reserve at table for a party of four at devon's for 6:00 pm,action-item
i need water on my shopping list and beer off of it,action-item
i'm searching for a 2-way flight from yqg to heathrow for w to memorial day,action-item
how is my calendar looking for may 6th,reminder
what's the meeting room availability between noon and 2,reminder
i would like to get some more checkbooks mailed to me,unknown
i must know my water bill minimum payment,unknown
does canada require a visa,unknown
find me a roundtrip flight from dallas to los angeles from march 2 to march 10,action-item
what questions are permissible,small-talk
sayonara,small-talk
what sort of stuff do you know,small-talk
halt the process,unknown
set a 10 minute timer,reminder
"check my calendar for march 4th 2019, please",reminder
i can't find my phone,action-item
"yeah that's right, so true",unknown
thank you for the answer,small-talk
are there transaction fees for my visa if i'm in russia,unknown
put a meeting on my schedule with pam for 3:00pm on february 11th,reminder
i'd like to schedule some pto from 2/22 to 2/25,reminder
i need help finding a recipe for enchiladas,unknown
i'm needing to know who made you,small-talk
do i have 30th birthday party on my calendar,reminder
make up a timer for me,reminder
"cancel my reservation for dinner, please",unknown
will you buy me underpants,unknown
do i have cheese on my shopping list if not please add it,action-item
money transfer request,action-item
who can i talk to above you,unknown
please tell me the name you use for me,unknown
how goes it,small-talk
look up the exchange rate between dollars and euros,unknown
please assist me in looking for my phone,action-item
how much do i earn a year,unknown
what are the international transactions fees for my industrial bank card,unknown
whats the quickest way to money from one account to another,action-item
move $40 from account b to account a,action-item
reserve a table at tropicana for 5 people under the name martins for 8pm,action-item
i am currently out of q tips and need more ordered right away,unknown
yes i am,unknown
locate my phone,action-item
can you help me find my phone,action-item
i am out of trash bags and need them to be added to my shopping list,action-item
i need 2000 to go to my chase checking from my mellon bank savings account,action-item
i want to hear everything on my todo list,action-item
have an alarm wake me at 10:30 am,reminder
i need to get from jfk to dallas with united for under $500,action-item
this was a nice chat,small-talk
what's the routing number for my money market account,unknown
can you find me a flight from denver international to new york international on the 4th for under 700 dollars,action-item
will you start a timer for me,reminder
add 7 rings to my pop playlist,unknown
which song are we listening to,unknown
can you make a reservation for me at the restaurant,action-item
milk will go bad in my fridge when,unknown
i gotta have a 10 minute timer,reminder
tell me what the date will be in 5 days,unknown
add body to my dance playlist,unknown
can applebees take reservations,unknown
whats the meaning of life,emotional-support
do i need to change any of my tires,unknown
what food do you need to make lasagna,unknown
can i increase the credit limit on my travel rewards card,unknown
make saound function operate in whisper mode,unknown
should i get a travel visa for spain,unknown
i'd like for you to make sure my reservation is there for charlie's under jack,unknown
rolls have how many calories,unknown
look for my phone with me,action-item
"wake up, ai",small-talk
how can i get your attention,unknown
why thank you,small-talk
until next time!,small-talk
i need to book a hotel room or suite for 2 adults and 2 children in orlando for july 1st through 5th,action-item
where is my w2,unknown
what do i have to do on january 1st,reminder
when will i get my new credit card,unknown
what subjects are you familiar with,small-talk
you can unsync from my phone now,unknown
are any meetings booked for today,unknown
are meeting rooms free between 8-3,reminder
send 100 dollars from my vanguard money market to my wells fargo savings,action-item
how long is it safe to leave shrimp in the fridge,unknown
can you get me a table for 2 at mexico viejo at 3pm,action-item
it was great to talk to you,small-talk
set an alarm for lunch and another for dinner,reminder
lets pass on this song and do the next,unknown
when do you think i ought to change the oil in my car next,unknown
what are today's travel advisories,unknown
how should i refer to you,unknown
please get milk removed from my shopping list and add bread,action-item
i need to set a meeting with tom at 6pm,reminder
please change the language,action-item
hotel room for 5 in austin for 3/1 until 3/8,action-item
how can i look at rewards for my amex card,unknown
when is my next paycheck due,unknown
i need alarm for both 4am and 7am,reminder
i have a great western bank account i want direct deposits to go to,unknown
remove moms birthday from calendar,reminder
i need to know what i have on my shopping list,unknown
what entity is your boss,unknown
is everything ok today,small-talk
what's the annual rate on my discover card,unknown
it was pleasant having a conversation with you,small-talk
say something funny,small-talk
what ingredients are necessary to make spaghetti carbonara,unknown
who were you created by,small-talk
nix that reservation for 4 at strip house,unknown
good bye then,small-talk
"update my shopping list, delete canned olives",action-item
"yes, that is a fact",unknown
i need to know where my phone is,action-item
how can i build my credit,unknown
are there any active events for march 4th 2019,reminder
i need to know trivia on star wars,unknown
i really wanna get some more checkbooks mailed to me,unknown
how do i say dinner in spanish,action-item
what is my salary,unknown
goodnight,small-talk
how do i change the name you use to address me,small-talk
give me a hand finding my mobile device,action-item
can you delete lunch with david from my to do list,unknown
can you switch out of whisper mode,unknown
is doing my laundry already on my todo list,action-item
"it seems to be that i have had pizza in the fridge since monday, so is it safe to eat",unknown
has my order been shipped,unknown
start the timer now and stop at thirty minutes,reminder
how is everything going for you,small-talk
what is the remaining time until we are at our destination,unknown
share my location with sarah,unknown
hey how's it going,small-talk
what's happening,small-talk
can you translate that to french,action-item
what's the point of everything,emotional-support
i was using my credit card as a cutting board and accidentally sliced it in half,unknown
how many centimeters are one inch,unknown
i need to know everything on my to do list currently,action-item
define sonogram,unknown
can you please change you accent to the male british one,unknown
how do i request vacation time,reminder
whats it like to be programmed,small-talk
what name should i use to call for you,unknown
i need to set a timer,reminder
what region were you born,small-talk
i want to set up direct deposit to my charles schwab account,unknown
in what place are you originally from,small-talk
what can i call you,unknown
can you call my cellphone,action-item
what can i use you to help me with,small-talk
please respond to me in spanish,action-item
can you put in a pto request for march 7th to the 9th,reminder
do you know where my cellphone is,action-item
i want to report a damaged card,unknown
show me the transaction on burger king,unknown
please send ann a text and tell her i will be home in 20 minutes,unknown
pay my electric bill from my park bank account,unknown
what's something interesting to do kentucky,unknown
tell me my name the way its saved,unknown
what is on my calander for valentines day,reminder
when should another paycheck arrive,unknown
i would like assistance moving money from one account to another,action-item
tell my bank i am traveling out of country,unknown
will i be able to get a seat at 5pm,unknown
silence,unknown
how long can i leave tuna casserole in the fridge,unknown
what is the exact time right now in the hawaii time zone,unknown
"if soda isn't on my shopping list, go ahead and add it for me",action-item
remove the birthday party this friday from my schedule,reminder
please put annie's baby shower on march 30 in my calendar,reminder
what kind of questions can i ask you,small-talk
are there any vacancies in new york city from april 2 through april 8,action-item
provide me the name of who programmed you,small-talk
book room for me and her under the name kendra,action-item
can i have a table held at the outback steakhouse for johnson at 5,action-item
i appreciate the help,small-talk
how does one say thank you in spanish,action-item
is mcdonalds busy around 9,unknown
can you schedule a meeting with steve for 5,reminder
send over a hundred dollars from huntington into saving,action-item
you can call me john,small-talk
the plastic numbers on my card are falling off,unknown
put milk on my shopping list cause i'm out of it,action-item
add bread to my list of things to buy,action-item
am i approved for vacation yet,unknown
tell me where to a w2 form,unknown
time to move some cash from one account to another,action-item
i'm going to need an uber to take 4 people to the mall,unknown
please set a reminder for me,reminder
remind me to get an oil change,unknown
i'd like to hear a lawyer joke,small-talk
clear my calendar for tomorrow,reminder
i'd like some suggestions on where to go on my vacation this year,unknown
what place were you born,small-talk
tell me about my american express application; did it go through,unknown
inform me the lowest amount i can pay for my cable bill,unknown
thanks for that response,small-talk
i need a hotel room for 4 people from may 3 to may 5 in boston,action-item
goodbye!,small-talk
set my alarm for six tomorrow morning,reminder
book a reservation for 3 at red lobster under the name steve,action-item
i want to put you in a different language,action-item
could you tell me the status of my frontier flight,unknown
what do you like doing in your free time,unknown
what types of things are you able to do,small-talk
actually forget that i don't need it,unknown
what's my name saved under,unknown
what keeps you busy in your free time,unknown
read my todo list,action-item
is changing the water filter on my to do list right now,action-item
what's the balance in my bank accounts,unknown
what is the name of the person who created you,small-talk
decrease your decibel level,unknown
"can you schedule a meeting with james at the office, please",reminder
can you find out for me when my credit card will be expiring,unknown
i want a good recipe that shows me how to bake chocolate chip cookies from scratch,unknown
is the level of fuel in my car enough to get me to work,unknown
hit me with a good joke,small-talk
change my amex pin to 1234,unknown
can i use water instead of milk,unknown
"great talk, take it easy",small-talk
how can i set up a meeting,reminder
youre a doll,small-talk
what is my interest rate for my scotiabank account,unknown
refer to me as nick,small-talk
how do they say tacos in mexico,action-item
do i have enough pto to take time off,unknown
what should i get at a mexican restaurant,unknown
can you check to see if my shopping list already has milk,unknown
can you find me a hotel in columbus with good reviews,action-item
"is paprika listed on my shopping list, please add it",action-item
how many rewards do i now have on my hy-vee card,unknown
erase meeting with jeff from my calendar,reminder
send 1200 dollars between usaa and navy federal accounts,action-item
what's the date today,unknown
how do i set the alarm,reminder
what all can i ask you,small-talk
hi what's up,small-talk
what is the total amount of my paychecks over the last year,unknown
check if there's a hotel room that can receive 10 people in tampa from this friday for a week,action-item
i must procure a car rental for the 10th to the 15th in zimbabwe and i would prefer a bmw,unknown
"address me as ""bailey",small-talk
book a reservation for 8 pm at red robin under the name kevin,action-item
"what time is it in adelaide, australia right now",unknown
tell me what you can do for me,small-talk
will this recipe still be good if i use milk instead of eggs,unknown
please force my account to freeze,unknown
what is the location of my phone,action-item
will you play the next song on this playlist,unknown
allow me to turn on the lights,action-item
where were you programmed,small-talk
how is the traffic on the way to the mall,unknown
please add sugar to my shopping list if it's not on it,action-item
stop it now!,unknown
what are the requirements for carry on on flights with united airlines,unknown
thank you very much for the assistance,small-talk
how many flavors of mnm's are there,unknown
what time is it in buenos aires,unknown
i'm curious what health plan i'm on,unknown
please make your language setting french,action-item
please measure my tire pressure,unknown
what is the correct way to say 'i am a visitor' in french,action-item
i need to get a new credit card application,unknown
are you from the uk,small-talk
thanks for that answer,small-talk
how soon should i get my tires changed,unknown
please respond to me in english from now on,action-item
tell me your brand,small-talk
tell me where you come from,small-talk
make me a reservation for 5 people at village tavern for the calloways,action-item
"is ""cleaning the bathroom"" an item on my todo list",action-item
hello there,small-talk
walk me through changing the oil on a tesla,unknown
who can tell me if there's any meaning to life,emotional-support
who's responsible for your existence,small-talk
what are popular lifestyle magazines,unknown
on the way to work is there traffic,unknown
what should i do to get my car jump started,unknown
i'm in need of checks for bank of america,unknown
i need $20000 transferred from my savings to my checking,action-item
how many people died in yesterday's storm,unknown
am i your boss,unknown
"no, that can't be right",unknown
book me a hotel room in memphis for 3 people from 3/6 until 3/10,action-item
how long is it safe to leave a burger in the refrigerator,unknown
have my app for a new card been processed yet,unknown
i lost my phone and need assistance,action-item
do i have get an oil change on my todo list,action-item
"i lost my discover card, i want to report it",unknown
call my bank customer service number,unknown
my name is brad,small-talk
get me flight from philly to atlanta on june 5th i'm coming back june 8th,action-item
"right now, i need to know the meaning of life",emotional-support
is there a room big enough for 10 people from monday to tuesday in manhattan,action-item
what kind of gas can i put into this car,unknown
"can you add a trip to the post office to my to do list, please",unknown
i need a hotel booked in denver near the museum from friday to saturday,action-item
read the phone number for mom in my phone contacts,unknown
set an alarm for 5am,reminder
which subjects are you the most experienced with,small-talk
how about any bookings in new york city from april 2 through april 8,action-item
for what reason did my card get declined,unknown
help me find my phone please,action-item
i owe you one!,small-talk
is it possible to set a timer,reminder
"what's my current interest rate, if you could look",unknown
how do i say i'm sorry in chinese,action-item
"please add milk on my shopping list, if it is not already on it",action-item
"""i'll be travelling from lax and headed to phl for 120 on the 10th of may",action-item
can i initiate a one-time transfer from my savings account to my money market account,action-item
"which health plan do i have, again",unknown
can you set up a pto request for me for march 20th to april 12th,reminder
are there shots required before going to south africa,unknown
what is a good apr,unknown
will you roll a 12 sided dice,unknown
i want to book a flight reservation from texas to new york on may 9th and i want to come back on the 15th,action-item
please make a reservation for 2 at olive garden for 5 pm today,action-item
please check and report on my tire pressure,unknown
can i take pto from the end of the month to the 5th of the next month,reminder
suggest some restaurants,unknown
can you locate my phone,action-item
tell me how you are doing,small-talk
"can you schedule a meeting with steve at the office, please",reminder
can you explain the meaning of life to me,emotional-support
i'm looking for a roundtrip flight from fwa to hsv for march first to march fifth,action-item
are you ai,unknown
what's your name anyway,unknown
i need to change the language to french,action-item
thanks a million,small-talk
where were you given birth,small-talk
is traffic good or bad at 9:00 on the way to detroit,unknown
what is our purpose in life,emotional-support
see you again soon,small-talk
is my order already here,unknown
is there travel alerts for greece,unknown
please create an alarm for 5:45 am and an alarm for 6:15 am,reminder
tell me something funny about the middle ages,small-talk
thank you a lot for that answer,small-talk
purchase a flight from boise to sacramento on sunday and returning on wednesday,action-item
how many miles will it take to get to my destination,unknown
can you share the status of my day off request,unknown
give me a list of the biographies written by nyu professors after 2001,unknown
10 minute timer,reminder
i would like to know the proper way to greet an adult in portuguese,action-item
i'm exploring a possible cycle flight from yyz to dublin for w to aug two,action-item
i want that repeated,unknown
i would like to reserve a hotel room that accomodates 10 people from monday to tuesday in manhattan,action-item
lets set a timer for me,reminder
can you please let me know the status of my capital one application,unknown
"i need a reservation for one at applebee's, four in the afternoon on march 3rd",action-item
what subjects or areas are you familiar with,small-talk
do you know when my card will come in,unknown
i just flew in on american airlines flight ab123 from chicago and can't find my luggage,unknown
how does measurement a convert to measurement b,unknown
take the event called surprise party off my calendar for june 2,reminder
would you describe yourself as a cat or dog person,unknown
come again,unknown
"is milk in my shopping list if not, add it",action-item
so why was my card declined yesterday,unknown
is my phone somewhere around here,action-item
