text,intent
set a warning for when my bank account starts running low,unknown
a show on broadway,unknown
who has the best record in the nfl,unknown
how do i find the area of a circle,unknown
how many onions do i have on hand,unknown
what is the name of the 13th president,unknown
show me recent activity in my backyard,unknown
how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,unknown
does our bank have free notary,unknown
what were the top stories this week,unknown
can i mix antifreeze with water,unknown
are any earning reports due,unknown
show me the channel guide,unknown
is the pnc bank open,unknown
where does the power steering fluid go,unknown
when was the last time the president visited floridau,unknown
how can i keep my windshield from fogging up in winter,unknown
how do i compute the median of a set of numbers,unknown
what is happening with brexit right nowu,unknown
are there any new companies to look out for,unknown
can you tell me how to compute price per ounce,unknown
how to unclog a drain,unknown
am kind of busy now,unknown
what new reality shows are there for 2019,unknown
what is the purpose or benefit of a cash advance,unknown
how can i root an android phone,unknown
is android better than iphone,unknown
are androids expensive,unknown
how long does it take to become an architect,unknown
who are some famous living architects,unknown
find out for me as to why people get autism,unknown
is autism a genetic disease,unknown
is flu contagious,unknown
is it true that nicotine is harder to kick than heroin,unknown
please inform me on bad habits and overcoming them,unknown
are bad habits closely related with addictions,unknown
does hypnosis work to break bad habits,unknown
king of acid,unknown
suo2,unknown
what university in the united states offers the best biomedical engineering program,unknown
what's the definition of nuclear engineering,unknown
when was electrical engineering created,unknown
what is naval engineering,unknown
is it possible to survive in a black hole,unknown
where do black holes come from,unknown
what are black holes,unknown
what was the final vote count in the brexit referendum,unknown
can you tell me the latest georgia news,unknown
is the brexit finalized yet,unknown
the birds fly with there wings,unknown
how the birds fly,unknown
where does cannabis originate from,unknown
how are my cannabis stocks doing,unknown
is marijuana addictive,unknown
should i hit or stay at 17 in blackjack,unknown
what game has the best odds at a casino,unknown
what's the best opening gambit for a game of chess,unknown
what side in chess has the general advantage,unknown
how do i get better at go,unknown
how high does my sat score need to be to get into harvard,unknown
what'll an education at boulder state college run,unknown
what's the average gpa to get into yale,unknown
what act score is considered good,unknown
what cryptocurrency gained the most in 2018,unknown
what's the best crypto to buy in 2019,unknown
how is crypto legal,unknown
are there any cybersecurity jobs available in pittsburgh,unknown
how many firewalls should i have and what type,unknown
how can i breach a network,unknown
how does cybersecurity work,unknown
how many countries in the world are democracies,unknown
is the united states a democracy,unknown
which nations are not democratic,unknown
how does a democracy work,unknown
please get me my wheelchair,unknown
what's the best dog food to feed my puppy,unknown
how do you know when your dog is ill,unknown
what dog breed sold the most in 2018,unknown
how much food should i feed my cat,unknown
what does it mean if i dream of falling off a building,unknown
is it bad to not remember your dreams,unknown
why do we dream,unknown
"do ducks eat meat, vegetables, or both",unknown
what is the friendliest breed,unknown
what do geese eat,unknown
do ducks sleep,unknown
are over the ear headphones better than in ear headphones,unknown
what brand of earphones is the best reviewed of 2019,unknown
are white and brown eggs any different,unknown
where do eggs come from,unknown
how can i easily replace a string on my guitar,unknown
how do you learn how to play electric violin,unknown
can you give me the standard tuning notes,unknown
what is the cheapest electric guitar,unknown
you want to know about current time now,unknown
what does it mean to have equality,unknown
what site publishes the most fake news,unknown
can you tell me some fake news,unknown
is cnn really fake news,unknown
why is there fake news,unknown
"in spanish, meet me tomorrow is said how",action-item
"in french, how do i say, see you later",action-item
how do you say hello in japanese,action-item
how do i ask about the weather in chinese,action-item
"how can i say ""cancel my order"" in french",action-item
how do i say dinner in spanish,action-item
how do you say good bye in french,action-item
how do i say thank you in spanish,action-item
how do i say good bye in chinese,action-item
how can i say thank you very much in chinese,action-item
i need to know how to say hello in france,action-item
would you tell me how to say goodbye in france,action-item
how do you say hello in mexico,action-item
tell me how to say hello in chile,action-item
i want to know how to say goodbye in france,action-item
"would you translate a sentence into russian for me, please",action-item
would you translate a phrase into mandarin for me,action-item
"can you translate this name into spanish for me, please",action-item
"could you translate this into chinese for me, please",action-item
could you translate water into dutch for me,action-item
transfer ten dollars from my wells fargo account to my bank of america account,action-item
take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,action-item
put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account,action-item
move two hundred dollars to my chase savings account to my wells fargo checking account,action-item
move three hundred and fifty dollars from my citibank savings account to my chase savings account,action-item
move a dollar from my checkings to my savings,action-item
move my money to the other account,action-item
transfer funds to the other account,action-item
please transfer half of my funds to an alternate account,action-item
can you move my money to my savings,action-item
make an eft to my savings from my checking account,action-item
send 100 dollars from my vanguard money market to my wells fargo savings,action-item
i need 200 dollars transferred from my long island savings account to my chase checking,action-item
send from my bbc money market to my t rowe price money market seven thousand dollars,action-item
i need 2000 to go to my chase checking from my mellon bank savings account,action-item
move 100 dollars from my savings to my checking,action-item
transfer 1000 dollars from my first national bank to my bethpage federal credit union savings,action-item
take out of my checking 400 dollars and put it into my emergency savings account,action-item
i need to transfer one thousand dollars to my savings account from my checking,action-item
transfer 50 dollars from my checking account to my money market account,action-item
create a new timer,reminder
i'd like to set a new timer,reminder
help me set a timer please,reminder
10 minutes is what the timer should be set at,reminder
the timer should have 10 minutes set to it,reminder
10 minutes is the setting for the timer,reminder
the timer is calculated for 10 minutes,reminder
set the timer for 10 minutes,reminder
can you set a 30 second timer,reminder
please set a timer to go off in 45 minutes,reminder
i need you to create a timer,reminder
i need a timer set please,reminder
create a timer that is set to go off after 25 mins,reminder
i need a timer that is set at 1 hour exactly,reminder
could you set up a timer for me,reminder
will you start a timer for me,reminder
set up a 52 minute timer,reminder
please set up a timer for me,reminder
set 60 minutes for oven please,reminder
please make the timer for cooking for for 2 hours,reminder
may i please have a definition for the work churlish,unknown
i want to know what trenchant means,unknown
what is the meaning of fascism,unknown
can you tell me what a septuagenarian is,unknown
can you define the word schadenfreude,unknown
what does unsavory mean,unknown
please define erection for me,unknown
what does idiosyncratic mean,unknown
tell me the meaning of condemnation,unknown
define monetary for me please,unknown
tell me the meaning of hegemony,unknown
what does indignation mean,unknown
define ambivalence for me please,unknown
please define institutional racism,unknown
define antagonist for me please,unknown
what does distinguish mean,unknown
what is the meaning of word alliance,unknown
i need to know what dominate means,unknown
what is the definition of the word migrate,unknown
tell me please what paean means,unknown
i want to know what the purpose of life is,emotional-support
i want to hear what you think life's purpose is about,emotional-support
what do you think the purpose of life is,emotional-support
what is the purpose of existence,emotional-support
what do you think our purpose is in life,emotional-support
i'd like to know the meaning of life,emotional-support
what's your opinion on the meaning of life,emotional-support
what is life's purpose,emotional-support
tell me all about the meaning of life,emotional-support
tell me your thoughts about the meaning of life,emotional-support
do you have any ideas on the meaning of life,emotional-support
do you know the deeper meaning of life,emotional-support
tell me the meaning of life,emotional-support
"can you tell me, what is the meaning of life",emotional-support
"what is the meaning behind life, do you think",emotional-support
what is our purpose,emotional-support
what do you think we are on earth for,emotional-support
what do you think life is really about,emotional-support
do you think we have a higher calling,emotional-support
why are humans on earth,emotional-support
explain how do i get new insurance,unknown
tell me how to get new insurance,unknown
explain to me how do i get new insurance,unknown
i want to get new insurance,unknown
can you tell me how do i get new insurance,unknown
i'd like to know how changes are made to my insurance policy,unknown
how can i make changes for my insurance policy,unknown
can you tell me how changes on my insurance policy can be made,unknown
i'd like to know how to make changes for my insurance policy,unknown
could you tell me how to make changes to my insurance policy,unknown
tell me how to change my policy,unknown
i need to switch insurance plans,unknown
can you help me switch insurance plans,unknown
tell me how to make changes to my insurance policy,unknown
how do i switch to a new insurance plan,unknown
can you help me switch to a new insurance plan,unknown
how can i change information on my insurance policy,unknown
how do i make changes to my insurance policy,unknown
tell me how to change my insurance policy,unknown
"i need to change my insurance policy, how",unknown
please help me in finding my phone,action-item
please help me find my lost phone,action-item
i need your help finding my lost phone,action-item
help me find my phone please,action-item
tell me where i left my phone,action-item
what did i do with my phone,action-item
can you tell me where my phone is,action-item
what happened to my cellphone,action-item
do you remember where i left my cellphone,action-item
where is my cellphone,action-item
do you know where my cellphone is,action-item
i have lost my phone,action-item
"help me, i don't know where my phone is",action-item
tell me my phone's location,action-item
where would my phone be,action-item
i need to know my phone's location,action-item
help locate my phone,action-item
can you find me my phone,action-item
track down my phone for me,action-item
my phone is lost and i need help finding it,action-item
is traveling to france safe,unknown
is france safe to travel to,unknown
i need to know is traveling to france safe,unknown
can i travel to france as far as safety goes,unknown
can i safely travel to france or is it dangerous,unknown
are there any current travel alerts for brazil,unknown
are there any travel alerts for seattle,unknown
how safe is it to travel to guatemala right now and are there any alerts,unknown
are there any travel alerts for juarez,unknown
what's the danger level of flying to russia right now,unknown
are there any travel alerts for antarctica,unknown
are there any travel alerts for mountain view,unknown
does mexico have any travel alerts i should know about,unknown
does greece currently have any travel alerts in place,unknown
are there any travel alerts for brazil,unknown
how safe is it to visit spain,unknown
how safe is visiting canada this week,unknown
have the riots in france triggered any alerts for people traveling to there,unknown
is there any danger going to brazil,unknown
is it safe to travel to mexico,unknown
please request pto for march 2 and 3,reminder
i am requesting pto for march 2 and 3,reminder
